bench,Z3-time (ms),Z3-calls,Z3-error,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status,astr-log,z3-log,benchmark
APKExplorer,1130,17,1,1016,17,1,0,3.07,1.89,unknown,5.28,1.98,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.APKExplorer.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.APKExplorer.yml.log,sv-benchmarks/java/argv/APK-Explorer-Editor/app.src.main.java.com.apk.editor.utils/APKExplorer/Main.java
ASMUtil,0,1,1,0,1,1,0,1.62,0.71,unknown,1.69,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ASMUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ASMUtil.yml.log,sv-benchmarks/java/argv/jar-analyzer/src.main.java.me.n1ar4.dbg.utils/ASMUtil/Main.java
ASMUtil_1,0,1,1,0,1,1,0,1.65,0.69,unknown,1.56,0.69,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ASMUtil_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ASMUtil_1.yml.log,sv-benchmarks/java/argv/jar-analyzer/src.main.java.me.n1ar4.jar.analyzer.utils/ASMUtil_1/Main.java
AbstractJsonFunction,26,1,0,17,1,0,1,1.69,0.73,unknown,1.64,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AbstractJsonFunction.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AbstractJsonFunction.yml.log,sv-benchmarks/java/argv/blaze-persistence/core.impl.src.main.java.com.blazebit.persistence.impl.function.jsonset/AbstractJsonFunction/Main.java
AddExecutionParametersRequest,412,8,0,194,8,0,0,2.26,1.11,true,2.62,1.0,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AddExecutionParametersRequest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AddExecutionParametersRequest.yml.log,sv-benchmarks/java/argv/Qualitis/web.project.src.main.java.com.webank.wedatasphere.qualitis.rule.request/AddExecutionParametersRequest/Main.java
AddressUtil,46,2,1,27,2,1,0,1.58,0.67,unknown,1.56,0.68,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AddressUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AddressUtil.yml.log,sv-benchmarks/java/argv/hippo4j/threadpool.rpc.src.main.java.cn.hippo4j.rpc.support/AddressUtil/Main.java
Agent,35,1,1,19,1,1,0,1.76,0.73,unknown,1.79,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Agent.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Agent.yml.log,sv-benchmarks/java/argv/jar-analyzer/agent.src.main.java.com.n1ar4.agent/Agent/Main.java
AgentRollupIds,27,2,1,19,2,1,0,1.69,0.72,unknown,1.61,0.69,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AgentRollupIds.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AgentRollupIds.yml.log,sv-benchmarks/java/argv/glowroot/central.src.main.java.org.glowroot.central.repo/AgentRollupIds/Main.java
AnimatedPhoneNumberEditText,57,5,0,0,1,1,0,2.48,1.06,unknown,2.52,1.02,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AnimatedPhoneNumberEditText.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AnimatedPhoneNumberEditText.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.ui.Components/AnimatedPhoneNumberEditText/Main.java
AnimatedPhoneNumberEditText_1,42,5,0,0,1,1,0,2.56,1.07,unknown,2.43,1.05,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AnimatedPhoneNumberEditText_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AnimatedPhoneNumberEditText_1.yml.log,sv-benchmarks/java/argv/chatAir/TMessagesProj.src.main.java.org.telegram.ui.Components/AnimatedPhoneNumberEditText_1/Main.java
AntFarmRpcCall,165,13,1,0,1,1,0,4.35,2.75,unknown,2.41,1.18,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AntFarmRpcCall.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AntFarmRpcCall.yml.log,sv-benchmarks/java/argv/Sesame/app.src.main.java.io.github.lazyimmortal.sesame.model.task.antFarm/AntFarmRpcCall/Main.java
ApiDocsController,77,8,0,0,1,1,0,1.81,0.79,true,1.83,0.77,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ApiDocsController.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ApiDocsController.yml.log,sv-benchmarks/java/argv/elide/elide-spring.elide-spring-boot-autoconfigure.src.main.java.com.yahoo.elide.spring.controllers/ApiDocsController/Main.java
AppHelper,237,7,0,94,6,1,0,2.17,0.94,false,2.11,0.82,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AppHelper.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AppHelper.yml.log,sv-benchmarks/java/argv/customiuizer/app.src.main.java.name.monwf.customiuizer.utils/AppHelper/Main.java
