bench,calls,hits,partial
Aliasing1,3,0,0
Aliasing4,5,0,0
Aliasing5,3,0,0
Aliasing6,15,0,0
Arrays10,2,0,0
Arrays1,3,0,0
Arrays2,3,0,0
Arrays3,3,0,0
Arrays4,3,0,0
Arrays6,3,0,0
Arrays7,3,0,0
Arrays8,3,0,0
Arrays9,3,0,0
Basic10,3,0,0
Basic11,4,0,0
Basic15,3,0,0
Basic16,3,0,0
Basic17,3,0,0
Basic18,11,0,0
Basic19,1,0,0
Basic1,3,0,0
Basic30,3,0,0
Basic31,5,0,0
Basic32,3,0,0
Basic33,3,0,0
Basic34,5,0,0
Basic35,25,0,0
Basic3,3,0,0
Basic5,7,0,0
bug-test-gen-095,2,0,0
CharAtTest,6,0,0
CharSequenceToString,5,0,0
Collections12,3,0,0
Collections13,3,0,0
Collections14,3,0,0
Collections1,3,0,0
Collections2,3,0,0
Collections3,3,0,0
Collections4,3,0,0
Collections5,3,0,0
Collections6,3,0,0
Collections7,3,0,0
Collections9,2,0,0
ConcatTest,2,0,0
ContainsTest,10,0,0
Datastructures1,5,0,0
Datastructures2,3,0,0
Datastructures3,3,0,0
Datastructures5,3,0,0
Datastructures6,3,0,0
DeleteTest,6,0,0
EndsWithTest,10,0,0
ExSymExeStrings03,2,0,0
ExSymExeStrings07,2,0,0
ExSymExeStrings09,14,0,0
ExSymExeStrings10,2,0,0
ExSymExeStrings11,2,0,0
ExSymExeStrings12,2,0,0
ExSymExeStrings13,4,0,0
ExSymExeStrings15,2,0,0
ExSymExeStrings17,2,0,0
ExSymExeStrings18,2,0,0
ExSymExeStrings19,14,0,0
ExSymExeStrings20,6,0,0
ExSymExeStrings21,3,0,0
ExSymExeStrings22,4,0,0
ExSymExeStrings23,5,0,0
ExSymExeStrings24,12,0,0
ExSymExeStrings25,6,0,0
ExSymExeStrings26,2,0,0
ExSymExeStrings27,2,0,0
ExSymExeStrings28,2,0,0
ExSymExeStrings29,2,0,0
ExSymExeStrings31,6,0,0
ExSymExeStrings32,6,0,0
ExSymExeStrings33,6,0,0
ExSymExeStrings34,6,0,0
ExSymExeStrings39,4,0,0
ExSymExeStrings40,6,0,0
ExSymExeStrings43,6,0,0
ExSymExeStrings44,6,0,0
ExSymExeStrings45,6,0,0
ExSymExeStrings46,2,0,0
ExSymExeStrings52,6,0,0
ExSymExeStrings53,4,0,0
ExSymExeStringsFailed,6,0,0
Factories1,3,0,0
Factories2,3,0,0
Factories3,3,0,0
GoodbyeWorld,4,0,0
HelloWorld,2,0,0
InsertTest,14,0,0
Inter11,3,0,0
Inter12,3,0,0
Inter13,3,0,0
Inter14,25,0,0
Inter1,3,0,0
Inter2,5,0,0
Inter3,17,0,0
Inter4,3,0,0
Inter5,3,0,0
Inter6,3,0,0
Inter7,3,0,0
Inter8,3,0,0
IsEmptyTest,12,0,0
LowerCaseTest,2,0,0
OverapproximationString01,2,0,0
Pred4,3,0,0
Pred5,3,0,0
Pred8,5,0,0
Pred9,4,0,0
Refl1,3,0,0
Refl3,3,0,0
Refl4,3,0,0
ReplaceTest,3,0,0
ReverseTest,6,0,0
Session1,3,0,0
Session2,3,0,0
Session3,3,0,0
StartsWithTest,8,0,0
startswith,4,0,0
StringBuilderCapLen02,2,0,0
StringBuilderChars02,2,0,0
StringBuilderChars06,2,0,0
StringConcatenation01,8,0,0
StringConcatenation02,2,0,0
StringConcatenation03,2,0,0
StringConcatenation04,2,0,0
StringConstructors02,2,0,0
StringConstructors03,2,0,0
StringConstructors04,2,0,0
StringConstructors05,2,0,0
StringContains01,2,0,0
StringContains02,2,0,0
StringStartEnd02,5,0,0
StringStartEnd03,5,0,0
StringValueOf10,2,0,0
TrimTest,6,0,0
UpperCaseTest,2,0,0
ValueOfTest,10,0,0
