bench,astr,z3
Aliasing1,42,112
Aliasing4,79,115
Aliasing5,87,113
Aliasing6,173,376
Arrays1,47,113
Arrays10,50,54
Arrays2,63,88
Arrays3,66,86
Arrays4,58,79
Arrays6,41,126
Arrays7,64,117
Arrays8,69,93
Arrays9,94,71
Basic1,54,109
Basic10,62,111
Basic11,113,15357
Basic15,127,97
Basic16,51,86
Basic17,55,110
Basic18,97,197
Basic19,0,104
Basic3,80,7482
Basic30,64,106
Basic31,70,128
Basic32,51,93
Basic33,51,106
Basic34,80,144
Basic35,214,595
Basic5,322,9262
bug-test-gen-095,48,63
CharAtTest,65,103
CharSequenceToString,42,118
Collections1,50,82
Collections12,55,67
Collections13,60,69
Collections14,37,107
Collections2,51,68
Collections3,43,75
Collections4,40,74
Collections5,41,119
Collections6,55,93
Collections7,58,123
Collections9,37,61
ConcatTest,157,60
ContainsTest,1971,6879
Datastructures1,51,129
Datastructures2,53,77
Datastructures3,66,113
Datastructures5,71,9361
Datastructures6,44,85
DeleteTest,74,114
EndsWithTest,137,237
ExSymExeStrings03,51,0
ExSymExeStrings07,39,49
ExSymExeStrings09,92,253
ExSymExeStrings10,35,56
ExSymExeStrings11,47,0
ExSymExeStrings12,35,84
ExSymExeStrings13,37,55
ExSymExeStrings15,25,63
ExSymExeStrings17,31,68
ExSymExeStrings18,26,54
ExSymExeStrings19,96,268
ExSymExeStrings20,69,149
ExSymExeStrings21,52,73
ExSymExeStrings22,56,121
ExSymExeStrings23,71,117
ExSymExeStrings24,74,229
ExSymExeStrings25,48,137
ExSymExeStrings26,46,76
ExSymExeStrings27,46,60
ExSymExeStrings28,47,62
ExSymExeStrings29,36,64
ExSymExeStrings31,51,133
ExSymExeStrings32,52,154
ExSymExeStrings33,47,118
ExSymExeStrings34,49,124
ExSymExeStrings39,126,153
ExSymExeStrings40,460,1216
ExSymExeStrings43,74,314
ExSymExeStrings44,93,224
ExSymExeStrings45,67,168
ExSymExeStrings46,43,72
ExSymExeStrings52,34,129
ExSymExeStrings53,41,132
ExSymExeStringsFailed,48,121
Factories1,66,8816
Factories2,61,68
Factories3,40,109
GoodbyeWorld,40,57
HelloWorld,49,84
InsertTest,268,261
Inter1,56,71
Inter11,86,8996
Inter12,50,109
Inter13,51,129
Inter14,165,417
Inter2,65,134
Inter3,784,356
Inter4,82,105
Inter5,74,7621
Inter6,61,111
Inter7,51,119
Inter8,62,76
IsEmptyTest,257,200
LowerCaseTest,77,2690
OverapproximationString01,56,80
Pred4,42,109
Pred5,59,110
Pred8,49,157
Pred9,42,83
Refl1,48,69
Refl3,65,111
Refl4,60,69
ReplaceTest,148,108
ReverseTest,96,1003
Session1,40,97
Session2,46,105
Session3,49,110
startswith,27,94
StartsWithTest,76,267
StringBuilderCapLen02,136,78
StringBuilderChars02,65,70
StringBuilderChars06,71,78
StringConcatenation01,114,232
StringConcatenation02,65,68
StringConcatenation03,591,79
StringConcatenation04,49,78
StringConstructors02,30,64
StringConstructors03,35,87
StringConstructors04,29,59
StringConstructors05,47,73
StringContains01,37,85
StringContains02,49,82
StringStartEnd02,66,165
StringStartEnd03,75,195
StringValueOf10,56,85
TrimTest,90,37
UpperCaseTest,59,2679
ValueOfTest,102,179
