tool		SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025	SPF Thu Nov 20 01:30:44 PM MST 2025
run set		String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jdart-regression/startswith.yml	true	true	2.699258	1.1721437550000076	119.263232	true	3.04463	1.2258929509999916	134.946816
jdart-regression/OverapproximationString01.yml	true	true	3.159152	1.1926648389999883	158.384128	true	3.043653	1.250347622000021	131.399680
securibench/Factories3.yml	true	true	5.283181	1.557683847000007	149.585920	true	6.415383	1.7530497650000143	159.408128
securibench/Pred4.yml	true	true	5.548118	1.60875206099999	155.398144	true	6.32427	1.7698912779999887	160.952320
securibench/Datastructures1.yml	true	true	5.606778	1.6853251610000086	151.764992	true	6.625587	1.9993486829999938	151.752704
securibench/Collections3.yml	true	true	5.946586	1.6638950910000005	143.003648	true	6.479847	1.9450944529999958	157.040640
securibench/Collections14.yml	true	true	7.233249	2.066971412000001	245.272576	true	9.434974	2.491973313000017	280.866816
securibench/Aliasing5.yml	true	true	6.204798	1.806817271000014	158.285824	true	6.980262	1.9788871979999954	155.176960
securibench/Basic33.yml	true	true	5.735533	1.722105450000015	148.639744	true	6.680715	2.0519733159999873	151.134208
securibench/Aliasing6.yml	true	true	7.892505	2.0055335239999863	260.468736	true	7.449725	2.3504814929999895	155.717632
securibench/Collections1.yml	true	true	5.869229	1.737842220999994	143.974400	true	7.05365	1.9914591449999932	153.477120
securibench/Pred8.yml	true	true	5.589634	1.7003070910000133	135.909376	true	6.963431	1.9444092880000028	160.432128
securibench/Basic17.yml	true	true	5.902159	1.6295168330000251	146.509824	true	6.906611	1.9328030409999997	156.913664
