bench,astr,z3
Aliasing1,46,90
Aliasing4,91,115
Aliasing5,67,116
Aliasing6,167,380
Arrays1,43,113
Arrays10,45,55
Arrays2,41,78
Arrays3,35,91
Arrays4,41,69
Arrays6,45,121
Arrays7,45,110
Arrays8,45,86
Arrays9,59,69
Basic1,45,101
Basic10,38,105
Basic11,106,15746
Basic15,68,95
Basic16,63,72
Basic17,37,119
Basic18,55,235
Basic19,0,84
Basic3,53,7503
Basic30,48,102
Basic31,45,103
Basic32,39,97
Basic33,38,102
Basic34,54,141
Basic35,179,525
Basic5,334,9600
bug-test-gen-095,39,82
CharAtTest,45,126
CharSequenceToString,39,145
Collections1,32,106
Collections12,44,70
Collections13,41,69
Collections14,25,100
Collections2,30,74
Collections3,24,81
Collections4,30,89
Collections5,47,105
Collections6,56,107
Collections7,53,118
Collections9,32,88
ConcatTest,161,56
ContainsTest,2080,6876
Datastructures1,29,150
Datastructures2,42,118
Datastructures3,45,79
Datastructures5,47,9483
Datastructures6,25,71
DeleteTest,65,109
EndsWithTest,111,249
ExSymExeStrings03,49,0
ExSymExeStrings07,26,65
ExSymExeStrings09,74,286
ExSymExeStrings10,41,56
ExSymExeStrings11,41,0
ExSymExeStrings12,24,71
ExSymExeStrings13,44,55
ExSymExeStrings15,22,59
ExSymExeStrings17,28,65
ExSymExeStrings18,29,72
ExSymExeStrings19,73,279
ExSymExeStrings20,59,169
ExSymExeStrings21,42,81
ExSymExeStrings22,60,93
ExSymExeStrings23,58,131
ExSymExeStrings24,77,252
ExSymExeStrings25,41,138
ExSymExeStrings26,51,67
ExSymExeStrings27,37,62
ExSymExeStrings28,28,85
ExSymExeStrings29,29,59
ExSymExeStrings31,54,190
ExSymExeStrings32,43,174
ExSymExeStrings33,42,118
ExSymExeStrings34,53,132
ExSymExeStrings39,107,126
ExSymExeStrings40,384,1199
ExSymExeStrings43,40,318
ExSymExeStrings44,37,242
ExSymExeStrings45,68,148
ExSymExeStrings46,27,69
ExSymExeStrings52,29,157
ExSymExeStrings53,40,93
ExSymExeStringsFailed,41,121
Factories1,45,9014
Factories2,41,82
Factories3,27,110
GoodbyeWorld,45,62
HelloWorld,43,75
InsertTest,227,346
Inter1,30,111
Inter11,56,9409
Inter12,46,106
Inter13,30,126
Inter14,89,379
Inter2,49,117
Inter3,1079,272
Inter4,55,113
Inter5,56,7575
Inter6,42,104
Inter7,41,85
Inter8,50,81
IsEmptyTest,251,201
LowerCaseTest,49,2681
OverapproximationString01,37,65
Pred4,29,114
Pred5,41,70
Pred8,51,153
Pred9,40,95
Refl1,45,90
Refl3,40,114
Refl4,43,69
ReplaceTest,140,115
ReverseTest,107,1003
Session1,43,75
Session2,47,109
Session3,43,103
startswith,26,88
StartsWithTest,90,260
StringBuilderCapLen02,109,89
StringBuilderChars02,59,81
StringBuilderChars06,60,81
StringConcatenation01,29,203
StringConcatenation02,39,88
StringConcatenation03,571,64
StringConcatenation04,31,92
StringConstructors02,24,72
StringConstructors03,34,74
StringConstructors04,34,57
StringConstructors05,41,59
StringContains01,39,85
StringContains02,39,67
StringStartEnd02,43,201
StringStartEnd03,53,184
StringValueOf10,45,88
TrimTest,124,47
UpperCaseTest,61,2784
ValueOfTest,116,169
