   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../spf.xml
name:                    spf
run sets:                String-MAS.RuntimeException-Java, String-z3.RuntimeException-Java
date:                    Thu, 2025-11-20 13:40:49 MST
tool:                    SPF Thu Nov 20 01:40:01 PM MST 2025
tool executable:         ./jpf-sv-comp
options:
parallel runs:           4
resource limits:
- memory:                1000.0 MB
- time:                  30 s
hardware requirements:
- memory:                1000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    natwork
os:                      Linux-6.14.0-35-generic-x86_64-with-glibc2.39
cpu:                     Intel Core i7-10700 CPU @ 2.90GHz
- cores:                 16
- max frequency:         4800.0 MHz
- turbo boost enabled:   True
ram:                     33420.10368 MB
------------------------------------------------------------



String-MAS.RuntimeException-Java
Run set 1 of 2 with options '--string-dp MAS' and propertyfile 'None'

inputfile                                         status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------------------------
jdart-regression/startswith.yml                   true                             2.52        1.02        None
jdart-regression/OverapproximationString01.yml    true                             2.84        1.07        None
securibench/Factories3.yml                        true                             5.16        1.43        None
securibench/Pred4.yml                             true                             5.33        1.51        None
securibench/Datastructures1.yml                   true                             5.48        1.62        None
securibench/Collections3.yml                      true                             5.49        1.62        None
securibench/Collections14.yml                     true                             7.60        2.02        None
securibench/Aliasing5.yml                         true                             5.80        1.79        None
securibench/Basic33.yml                           true                             5.79        1.75        None
securibench/Aliasing6.yml                         true                             7.64        2.08        None
securibench/Collections1.yml                      true                             5.49        1.63        None
securibench/Pred8.yml                             true                             5.98        1.69        None
securibench/Basic17.yml                           true                             5.70        1.61        None
securibench/Session3.yml                          true                             6.17        1.76        None
securibench/Datastructures2.yml                   true                             6.21        1.79        None
securibench/Inter12.yml                           true                             6.71        1.94        None
securibench/Basic5.yml                            true                            10.46        2.47        None
securibench/Arrays3.yml                           true                             6.88        2.11        None
securibench/Collections4.yml                      true                             6.77        2.08        None
securibench/Aliasing1.yml                         true                             7.29        2.12        None
securibench/Collections6.yml                      true                             6.98        1.97        None
securibench/Factories1.yml                        true                             7.09        2.00        None
securibench/Aliasing4.yml                         true                             7.71        2.14        None
securibench/Inter3.yml                            true                            14.13        4.21        None
securibench/Refl1.yml                             true                             6.79        2.03        None
securibench/Session1.yml                          true                             7.41        2.10        None
securibench/Collections2.yml                      true                             6.70        1.99        None
securibench/Basic16.yml                           true                             6.71        1.86        None
securibench/Arrays4.yml                           true                             6.92        1.93        None
securibench/Basic11.yml                           true                             7.50        2.04        None
securibench/Arrays2.yml                           true                             6.90        2.00        None
