bench,Z3-time (ms),Z3-calls,Z3-error,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status,astr-log,z3-log,benchmark
AbstractJsonFunction,26,1,0,17,1,0,0,1.69,0.73,unknown,1.64,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AbstractJsonFunction.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AbstractJsonFunction.yml.log,sv-benchmarks/java/argv/blaze-persistence/core.impl.src.main.java.com.blazebit.persistence.impl.function.jsonset/AbstractJsonFunction/Main.java
AddExecutionParametersRequest,412,8,0,194,8,0,0,2.26,1.11,true,2.62,1.0,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AddExecutionParametersRequest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AddExecutionParametersRequest.yml.log,sv-benchmarks/java/argv/Qualitis/web.project.src.main.java.com.webank.wedatasphere.qualitis.rule.request/AddExecutionParametersRequest/Main.java
BeanShellUtil,68,5,0,37,5,0,0,1.69,0.69,false,1.76,0.75,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BeanShellUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BeanShellUtil.yml.log,sv-benchmarks/java/argv/JYso/src.main.java.com.qi4l.JYso.gadgets.utils.beanshell/BeanShellUtil/Main.java
BigIntegerConverter,58,4,0,34,4,0,0,1.91,0.77,false,2.05,0.83,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BigIntegerConverter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BigIntegerConverter.yml.log,sv-benchmarks/java/argv/TLS-Attacker/TLS-Core.src.main.java.de.rub.nds.tlsattacker.core.config.converters/BigIntegerConverter/Main.java
BookmarksFragment,0,1,1,19,2,0,0,1.56,0.68,unknown,1.82,0.77,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BookmarksFragment.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BookmarksFragment.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.ui.web/BookmarksFragment/Main.java
BuildCompat,26,1,0,16,1,0,0,1.58,0.71,unknown,1.62,0.71,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BuildCompat.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BuildCompat.yml.log,sv-benchmarks/java/argv/Thanox/android.android_framework.base.src.main.java.github.tornaco.android.thanos.core.compat/BuildCompat/Main.java
CIDRUtils,47,2,0,25,2,0,0,1.7,0.75,false,1.83,0.76,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CIDRUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CIDRUtils.yml.log,sv-benchmarks/java/argv/Arduino/arduino-core.src.edazdarevic.commons.net/CIDRUtils/Main.java
CamundaBpmRunAuthenticationProperties,41,2,0,21,2,0,0,1.74,0.75,false,1.76,0.73,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CamundaBpmRunAuthenticationProperties.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CamundaBpmRunAuthenticationProperties.yml.log,sv-benchmarks/java/argv/camunda-bpm-platform/distro.run.core.src.main.java.org.camunda.bpm.run.property/CamundaBpmRunAuthenticationProperties/Main.java
ClassPathProcessApplicationScanner,76,6,0,30,2,0,0,1.73,0.75,true,1.69,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ClassPathProcessApplicationScanner.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ClassPathProcessApplicationScanner.yml.log,sv-benchmarks/java/argv/camunda-bpm-platform/engine.src.main.java.org.camunda.bpm.container.impl.deployment.scanning/ClassPathProcessApplicationScanner/Main.java
CleanNodeFormatter,147,8,0,87,8,0,0,1.93,0.86,true,2.04,0.84,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CleanNodeFormatter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CleanNodeFormatter.yml.log,sv-benchmarks/java/argv/leetcode-editor/src.main.java.com.shuzijun.leetcode.plugin.utils.doc/CleanNodeFormatter/Main.java
