bench,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,Z3-time (ms),Z3-calls,Z3-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status
APKExplorer,1016,17,1,0,1130,17,1,3.07,1.89,unknown,5.28,1.98,unknown
ASMUtil,0,1,1,0,0,1,1,1.62,0.71,unknown,1.69,0.74,unknown
ASMUtil_1,0,1,1,0,0,1,1,1.65,0.69,unknown,1.56,0.69,unknown
AbstractJsonFunction,17,1,0,0,26,1,0,1.69,0.73,unknown,1.64,0.72,unknown
AddExecutionParametersRequest,194,8,0,0,412,8,0,2.26,1.11,true,2.62,1.0,true
AddressUtil,27,2,1,0,46,2,1,1.58,0.67,unknown,1.56,0.68,unknown
Agent,19,1,1,0,35,1,1,1.76,0.73,unknown,1.79,0.72,unknown
AgentRollupIds,19,2,1,0,27,2,1,1.69,0.72,unknown,1.61,0.69,unknown
AnimatedPhoneNumberEditText,0,1,1,0,57,5,0,2.48,1.06,unknown,2.52,1.02,unknown
AnimatedPhoneNumberEditText_1,0,1,1,0,42,5,0,2.56,1.07,unknown,2.43,1.05,unknown
AntFarmRpcCall,0,1,1,0,165,13,1,4.35,2.75,unknown,2.41,1.18,unknown
ApiDocsController,0,1,1,0,77,8,0,1.81,0.79,true,1.83,0.77,unknown
AppHelper,94,6,1,0,237,7,0,2.17,0.94,false,2.11,0.82,unknown
AppInstanceConstants,0,1,1,0,26,2,0,1.8,0.78,true,1.69,0.74,unknown
ApproximateStringMatcher,0,1,0,1,0,1,0,1.97,0.81,unknown,1.79,0.79,unknown
ArgLineParser,0,1,1,0,0,1,1,2.05,0.87,unknown,1.93,0.8,unknown
ArraySliceOperation,15,2,1,0,45,4,0,1.79,0.75,false,1.76,0.76,unknown
AssertDeleteStatement,97,5,1,0,6188,16,0,7.87,6.9,true,2.11,0.84,unknown
AssertSelectStatement,85,6,1,0,5247,6,0,6.93,5.94,unknown,2.01,0.85,unknown
AssetUtil,0,1,1,0,28,2,0,1.7,0.76,unknown,1.64,0.74,unknown
AudioDecoder,0,1,1,0,747,22,0,2.87,1.54,false,1.79,0.78,unknown
BaseHandler,0,1,1,0,730,45,1,2.97,1.59,unknown,1.8,0.78,unknown
BashUtils,0,1,1,0,2385,132,0,5.71,4.02,true,1.68,0.71,unknown
BeanShellUtil,37,5,0,0,68,5,0,1.69,0.69,false,1.76,0.75,false
BigIntegerConverter,34,4,0,0,58,4,0,1.91,0.77,false,2.05,0.83,false
Bili,0,1,1,0,24,2,0,1.88,0.76,false,1.94,0.8,unknown
BindParamsParser,0,1,1,0,25,2,1,1.67,0.7,unknown,1.75,0.74,unknown
Bitmap,0,1,1,0,269,29,1,2.33,1.04,unknown,1.77,0.76,unknown
BookmarksFragment,19,2,0,0,0,1,1,1.56,0.68,unknown,1.82,0.77,true
Browser,0,1,1,0,216,13,0,2.15,0.98,false,1.76,0.75,unknown
